Rotation,Pitch,Elbow,Wrist_Pitch,Wrist_Roll,Jaw
0.9526,0.4341,-0.2424,0.6351,0.8897,0.0820
0.6903,-0.1473,0.5246,0.4433,0.6888,0.0828
0.3835,-0.3375,0.6780,0.5016,0.2700,0.0813
-0.1626,-0.5691,0.9050,0.2761,-0.1534,-0.0291
0.7118,0.6427,-0.5783,0.4403,0.5860,-0.0291
0.4725,0.2823,-0.1012,0.4387,0.3820,-0.0291
0.3359,0.1626,0.0383,0.4418,0.2608,-0.0291
0.0506,0.0736,0.1473,0.4387,0.0736,-0.0307
0.5538,0.8774,-0.8391,0.3344,0.5016,-0.0307
0.4065,0.6151,-0.6750,0.5200,0.2869,-0.0322
0.2209,0.5844,-0.5200,0.5216,0.2869,-0.0322
0.0046,0.5814,-0.5185,0.5216,-0.0307,-0.0322
0.4510,0.9986,-1.2026,0.4188,-0.0322,-0.0276
0.3237,0.9649,-1.0661,0.4203,-0.0322,-0.0276
0.1626,0.9081,-1.0692,0.4188,-0.0337,-0.0276
0.0138,0.7179,-0.7440,0.4188,-0.0337,-0.0291
